tt3074952,Welcome to Willits,2017,22/09/2017,84,USA,,English,Yale Productions
tt3079222,The Man Who Was Thursday,2017,14/09/2017,95,"USA, Hungary, Italy, Romania",,English,Cobera Capital Group
tt3108658,Redemoinho,2017,09/02/2017,100,Brazil,,Portuguese,Bananeira Filmes
tt3122390,Beacon Point,2017,01/07/2017,85,USA,,English,
tt3142468,Fluefangeren,2017,21/04/2017,106,Norway,,Albanian,Good Wolf Bad Wolf
tt3180912,The Architect,2017,15/06/2017,95,USA,,English,Parker Film Company
tt3212910,Folk Hero & Funny Guy,2017,12/05/2017,88,USA,,English,Spitfire Studios
tt3228088,Spark: A Space Tail,2017,26/05/2017,91,"Canada, South Korea, USA, China",$ 1040689,English,ToonBox Entertainment
tt3238502,Ibiza Undead,2017,20/03/2017,95,UK,,English,Capital City Entertainment
tt3283864,Some Freaks,2017,04/08/2017,97,"USA, Mexico",,English,Mountview Creative
tt3286560,The Last Face,2017,28/07/2017,130,USA,$ 1161751,English,River Road Entertainment
tt3289956,The Autopsy of Jane Doe,2017,31/03/2017,86,UK,$ 5983416,English,42
tt3292080,The Journey Is the Destination,2017,18/04/2017,123,USA,,English,Prospero Pictures
tt3305308,Trespass Against Us,2017,03/03/2017,99,UK,$ 517197,English,Potboiler Productions
tt3315656,Split,2017,18/03/2017,127,USA,,English,Clear Eye Productions
tt3320500,The Axe Murders of Villisca,2017,05/05/2017,78,USA,$ 182467,English,Ketchum Labs
tt3342332,No Way to Live,2017,01/01/2017,84,USA,,English,Modernciné
tt3344694,The Secret Scripture,2017,24/03/2017,108,Ireland,$ 694981,English,Screen Ireland
tt3416532,A Monster Calls,2017,01/01/2017,108,"UK, Spain, USA",$ 47309313,English,Participant
tt3424690,Havenhurst,2017,10/02/2017,85,USA,$ 289299,English,Protocol Entertainment
tt3430548,Away,2017,12/05/2017,105,UK,,English,Flare Film
tt3444008,Land of the Little People,2017,05/07/2017,83,"Israel, Palestine",,Hebrew,Fresco Films
tt3449588,Abduct,2017,28/05/2017,88,UK,,English,Abduct Films
tt3470600,Sing,2017,27/01/2017,108,"Japan, USA",$ 634151679,"English, Japanese, Ukrainian",Dentsu
tt3520216,Fair Haven,2017,01/03/2017,90,USA,,English,Trick Candle Productions
tt3548276,Retribution,2017,02/09/2017,75,UK,,English,From The Ashes Films
tt3598108,Bad Girl,2017,27/04/2017,87,Australia,,English,Kmunications
tt3613314,The Ghoul,2017,04/08/2017,85,UK,$ 18459,English,Ghoul Film
tt3620120,Candiland,2017,07/02/2017,85,Canada,,English,Motorcycle Boy Productions
tt3646058,La carga,2017,13/10/2017,94,Mexico,,Spanish,Esfera Films Entertainment
tt3655972,El olivo,2017,17/03/2017,100,"Spain, Germany",$ 2090232,"Spanish, German, English, French",Morena Films
tt3663020,So B. It,2017,06/10/2017,98,USA,$ 47627,English,Branded Pictures Entertainment
tt3666024,La tortue rouge,2017,26/05/2017,80,"France, Belgium, Japan, Poland, Netherlands, Hungary, UK, Germany, China, Thailand, Italy, Denmark, USA",$ 6591789,None,Prima Linea Productions
tt3666492,Beach Massacre at Kill Devil Hills,2017,12/09/2017,99,USA,,English,No One Left Behind Productions
tt3684500,Downhill,2017,14/01/2017,82,"Canada, Mexico, Chile",,"Spanish, English",341 House Productions
tt3687316,Youth in Oregon,2017,03/02/2017,105,USA,,English,Sundial Pictures
tt3687898,Palace of Fun,2017,23/10/2017,80,UK,,English,
tt3692652,Eloise,2017,03/02/2017,89,USA,$ 372137,English,Buy Here Pay Here Entertainment
tt3699372,Let Me Make You a Martyr,2017,06/06/2017,102,USA,,English,Iscariot Films
tt3704298,Vincent N Roxxy,2017,02/06/2017,102,USA,$ 23896,English,Unified Pictures
tt3709442,Quarries,2017,10/03/2017,83,USA,,,Quarries Group
tt3716530,Elle,2017,10/03/2017,130,"France, Germany, Belgium",$ 12748594,French,SBS Productions
tt3717252,Underworld: Blood Wars,2017,13/01/2017,91,USA,$ 81093313,"English, Saami",Screen Gems
tt3721954,Maudie,2017,04/08/2017,115,"Ireland, Canada",$ 9733932,English,Painted House Films
tt3741834,Lion,2017,20/01/2017,118,"UK, Australia, USA",$ 140312928,"English, Hindi, Bengali",The Weinstein Company
tt3756046,Die Blumen von gestern,2017,12/01/2017,125,"Austria, Germany, France",,"German, French, English",Dor Film-West Produktionsgesellschaft
tt3771792,Cult of the Vampire,2017,05/05/2017,77,USA,,English,Andrew Amsden Films
tt3778010,Dead Awake,2017,12/05/2017,99,USA,$ 21675,English,Gama Entertainment Partners
tt3778354,Bear with Us,2017,15/08/2017,94,USA,,English,Arjay Entertainment
tt3783958,La La Land,2017,12/01/2017,128,"USA, Hong Kong",$ 446092357,English,Summit Entertainment
tt3784042,Sticky Notes,2017,11/04/2017,90,USA,,English,Mustard & Co
